"Kind","Name","PercentLackOfCohesion","MaxInheritanceTree","CountClassBase","CountClassCoupled","CountClassDerived","CountDeclMethodAll","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod"
"Public Static Class","cpw.mods.fml.common.FMLModContainer.ScalaAdapter",0,1,2,1,0,1,1,0,1
"Class","cpw.mods.fml.common.FMLModContainer.processFieldAnnotations.(Anon_1)",0,1,2,1,0,1,1,0,1
"Class","cpw.mods.fml.common.FMLModContainer.processFieldAnnotations.(Anon_2)",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.InjectedModContainer",50,1,2,6,0,22,22,2,22
"Public Class","cpw.mods.fml.common.LoadController",80,1,1,11,0,16,16,10,16
"Public Class","cpw.mods.fml.common.Loader",91,1,1,32,0,34,31,11,34
"Private Class","cpw.mods.fml.common.Loader.ModIdComparator",0,1,2,1,0,1,1,0,1
"Class","cpw.mods.fml.common.Loader.disableRequestedMods.(Anon_2)",0,1,2,0,0,1,1,0,1
"Class","cpw.mods.fml.common.Loader.getCallableCrashInformation.(Anon_3)",0,1,2,1,0,2,2,0,2
"Class","cpw.mods.fml.common.Loader.sortModList.(for_loop_2).(Anon_1)",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.LoaderException",100,2,1,0,1,2,2,0,2
"Public Class","cpw.mods.fml.common.MCPDummyContainer",0,2,1,2,0,24,2,0,2
"Public Class","cpw.mods.fml.common.MetadataCollection",73,1,1,2,0,5,2,2,5
"Public Class","cpw.mods.fml.common.MinecraftDummyContainer",0,2,1,3,0,24,2,1,2
"Public Class","cpw.mods.fml.common.MissingModsException",0,2,1,0,0,1,1,1,1
"Public Class","cpw.mods.fml.common.ModClassLoader",50,2,1,6,0,6,6,1,6
"Public Class","cpw.mods.fml.common.ModContainerFactory",50,1,1,8,0,2,1,0,2
"Public Class","cpw.mods.fml.common.ModMetadata",86,1,1,6,0,7,7,18,7
"Private Static Class","cpw.mods.fml.common.ModMetadata.JsonArrayConverter",0,1,2,0,0,1,1,0,1
"Private Static Class","cpw.mods.fml.common.ModMetadata.JsonStringConverter",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.ObfuscationReflectionHelper",0,1,1,5,0,7,0,0,7
"Public Class","cpw.mods.fml.common.ProxyInjector",0,1,1,8,0,1,0,0,1
"Public Class","cpw.mods.fml.common.SingleIntervalHandler",16,1,2,0,0,6,6,1,6
"Public Class","cpw.mods.fml.common.WrongMinecraftVersionException",0,2,1,1,0,1,1,1,1
"Public Class","cpw.mods.fml.common.asm.ASMTransformer",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.asm.FMLSanityChecker",33,1,2,5,0,2,2,1,2
"Static Class","cpw.mods.fml.common.asm.FMLSanityChecker.MLDetectorClassVisitor",50,2,1,0,0,2,2,1,2
"Public Class","cpw.mods.fml.common.asm.transformers.AccessTransformer",83,1,2,2,1,9,7,1,9
"Private Class","cpw.mods.fml.common.asm.transformers.AccessTransformer.Modifier",62,1,1,0,0,1,1,8,1
"Class","cpw.mods.fml.common.asm.transformers.AccessTransformer.readMapFile.(Anon_1)",0,1,2,2,0,2,2,0,2
"Public Class","cpw.mods.fml.common.asm.transformers.DeobfuscationTransformer",0,1,3,2,0,3,3,0,3
"Public Class","cpw.mods.fml.common.asm.transformers.MCPMerger",91,1,1,4,0,13,0,0,13
"Private Static Class","cpw.mods.fml.common.asm.transformers.MCPMerger.ClassInfo",50,1,1,0,0,2,2,5,2
"Private Static Class","cpw.mods.fml.common.asm.transformers.MCPMerger.MethodWrapper",33,1,1,1,0,4,4,3,4
"Public Class","cpw.mods.fml.common.asm.transformers.MarkerTransformer",83,1,2,0,0,6,4,1,6
"Class","cpw.mods.fml.common.asm.transformers.MarkerTransformer.readMapFile.(Anon_1)",0,1,2,1,0,2,2,0,2
"Public Class","cpw.mods.fml.common.asm.transformers.SideTransformer",50,1,2,2,0,2,2,0,2
"Public Class","cpw.mods.fml.common.asm.transformers.deobf.FMLDeobfuscatingRemapper",77,2,1,3,0,15,15,7,15
"Public Class","cpw.mods.fml.common.asm.transformers.deobf.FMLRemappingAdapter",0,2,1,1,0,2,2,0,2
"Public Class","cpw.mods.fml.common.asm.transformers.deobf.ZipInputSupplier",0,1,2,0,0,2,2,2,2
"Public Class","cpw.mods.fml.common.discovery.ASMDataTable",50,1,1,4,0,4,4,3,4
"Public Static Class","cpw.mods.fml.common.discovery.ASMDataTable.ASMData",66,1,1,1,0,6,6,5,6
"Private Static Class","cpw.mods.fml.common.discovery.ASMDataTable.ModContainerPredicate",0,1,2,3,0,2,2,1,2
"Public Class","cpw.mods.fml.common.discovery.DirectoryDiscoverer",0,1,2,9,0,2,2,1,2
"Private Class","cpw.mods.fml.common.discovery.DirectoryDiscoverer.ClassFilter",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.discovery.JarDiscoverer",0,1,2,8,0,1,1,0,1
"Public Class","cpw.mods.fml.common.discovery.ModCandidate",80,1,1,4,0,11,11,7,11
"Public Class","cpw.mods.fml.common.discovery.ModDiscoverer",60,1,1,7,0,5,5,3,5
"Public Class","cpw.mods.fml.common.discovery.asm.ASMModParser",75,1,1,7,0,20,20,5,20
"Public Class","cpw.mods.fml.common.discovery.asm.ModAnnotation",77,1,1,2,0,12,12,8,12
"Public Class","cpw.mods.fml.common.discovery.asm.ModAnnotation.EnumHolder",0,1,1,0,0,1,1,2,1
"Public Class","cpw.mods.fml.common.discovery.asm.ModAnnotationVisitor",65,2,1,1,0,8,8,4,8
"Public Class","cpw.mods.fml.common.discovery.asm.ModClassVisitor",0,2,1,4,0,5,5,1,5
"Public Class","cpw.mods.fml.common.discovery.asm.ModFieldVisitor",0,2,1,2,0,2,2,2,2
"Public Class","cpw.mods.fml.common.discovery.asm.ModMethodVisitor",63,2,1,1,0,6,6,5,6
"Public Class","cpw.mods.fml.common.event.FMLConstructionEvent",50,3,1,3,0,9,4,2,4
"Public Class","cpw.mods.fml.common.event.FMLEvent",0,1,1,1,3,2,2,0,2
"Public Class","cpw.mods.fml.common.event.FMLFingerprintViolationEvent",0,2,1,0,0,3,1,4,1
"Public Class","cpw.mods.fml.common.event.FMLInitializationEvent",0,3,1,1,0,7,2,0,2
"Public Class","cpw.mods.fml.common.event.FMLInterModComms",83,1,1,5,0,9,0,0,9
"Public Static Class","cpw.mods.fml.common.event.FMLInterModComms.IMCEvent",0,2,1,3,0,4,2,2,2
"Public Static Class","cpw.mods.fml.common.event.FMLInterModComms.IMCMessage",72,1,1,1,0,11,11,3,11
"Public Class","cpw.mods.fml.common.event.FMLLoadCompleteEvent",0,3,1,1,0,7,2,0,2
"Public Class","cpw.mods.fml.common.event.FMLLoadEvent",0,1,1,0,0,0,0,0,0
"Public Class","cpw.mods.fml.common.event.FMLPostInitializationEvent",0,3,1,2,0,8,3,0,3
"Public Class","cpw.mods.fml.common.event.FMLPreInitializationEvent",78,3,1,6,0,16,11,6,11
"Public Class","cpw.mods.fml.common.event.FMLServerAboutToStartEvent",33,3,1,1,0,8,3,1,3
"Public Class","cpw.mods.fml.common.event.FMLServerStartedEvent",0,3,1,1,0,7,2,0,2
"Public Class","cpw.mods.fml.common.event.FMLServerStartingEvent",50,3,1,1,0,9,4,1,4
"Public Class","cpw.mods.fml.common.event.FMLServerStoppedEvent",0,3,1,1,0,7,2,0,2
"Public Class","cpw.mods.fml.common.event.FMLServerStoppingEvent",0,3,1,1,0,7,2,0,2
"Public Abstract Class","cpw.mods.fml.common.event.FMLStateEvent",0,2,1,3,10,5,3,0,3
"Public Class","cpw.mods.fml.common.functions.ModIdFunction",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.functions.ModNameFunction",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.modloader.BaseModTicker",61,1,2,4,0,9,9,4,9
"Public Class","cpw.mods.fml.common.modloader.ModLoaderChatListener",0,1,2,1,0,3,3,1,3
"Public Class","cpw.mods.fml.common.modloader.ModLoaderConnectionHandler",14,1,2,4,0,7,7,1,7
"Public Class","cpw.mods.fml.common.modloader.ModLoaderCraftingHelper",0,1,2,1,0,3,3,1,3
"Public Class","cpw.mods.fml.common.modloader.ModLoaderEntitySpawnCallback",33,1,2,5,0,2,2,3,2
"Public Class","cpw.mods.fml.common.modloader.ModLoaderFuelHelper",0,1,2,1,0,2,2,1,2
"Public Class","cpw.mods.fml.common.modloader.ModLoaderGuiHelper",66,1,2,2,0,6,6,4,6
"Public Class","cpw.mods.fml.common.modloader.ModLoaderHelper",90,1,1,31,0,16,0,0,16
"Public Class","cpw.mods.fml.common.modloader.ModLoaderModContainer",92,1,2,34,0,36,35,19,36
"Public Class","cpw.mods.fml.common.modloader.ModLoaderNetworkHandler",66,2,1,2,0,25,6,1,6
"Public Class","cpw.mods.fml.common.modloader.ModLoaderPacketHandler",0,1,2,4,0,2,2,1,2
"Public Class","cpw.mods.fml.common.modloader.ModLoaderPickupNotifier",0,1,2,1,0,2,2,1,2
"Public Class","cpw.mods.fml.common.modloader.ModLoaderVillageTradeHandler",0,1,2,2,0,2,2,1,2
"Public Class","cpw.mods.fml.common.modloader.ModLoaderWorldGenerator",0,1,2,1,0,2,2,1,2
"Public Class","cpw.mods.fml.common.modloader.ModProperty",71,1,1,0,0,7,7,5,7
"Public Class","cpw.mods.fml.common.network.EntitySpawnAdjustmentPacket",75,2,1,2,0,11,4,4,4
"Public Class","cpw.mods.fml.common.network.EntitySpawnPacket",72,2,1,9,0,11,4,18,4
"Public Class","cpw.mods.fml.common.network.FMLNetworkException",0,2,1,0,0,2,2,0,2
"Public Class","cpw.mods.fml.common.network.FMLNetworkHandler",92,1,1,14,0,29,10,3,29
"Public Abstract Class","cpw.mods.fml.common.network.FMLPacket",85,1,1,2,8,7,4,1,7
"Public Class","cpw.mods.fml.common.network.ModIdMapPacket",50,2,1,6,0,11,4,1,4
"Public Class","cpw.mods.fml.common.network.ModIdentifiersPacket",50,2,1,4,0,11,4,1,4
"Public Class","cpw.mods.fml.common.network.ModListRequestPacket",50,2,1,9,0,11,4,2,4
"Public Class","cpw.mods.fml.common.network.ModListResponsePacket",50,2,1,8,0,11,4,2,4
"Public Class","cpw.mods.fml.common.network.ModMissingPacket",60,2,1,9,0,12,5,2,5
"Private Static Class","cpw.mods.fml.common.network.ModMissingPacket.ModData",0,1,1,0,0,0,0,2,0
"Public Class","cpw.mods.fml.common.network.NetworkModHandler",89,1,1,17,1,19,19,7,19
"Public Class","cpw.mods.fml.common.network.NetworkRegistry",88,1,1,15,0,26,25,8,26
"Public Class","cpw.mods.fml.common.network.OpenGuiPacket",50,2,1,1,0,11,4,6,4
"Public Class","cpw.mods.fml.common.network.PacketDispatcher",0,1,1,6,0,7,0,0,7
"Class","cpw.mods.fml.common.registry.BlockTracker",66,1,1,0,0,6,3,1,6
"Public Class","cpw.mods.fml.common.registry.EntityRegistry",87,1,1,6,0,16,6,4,16
"Public Class","cpw.mods.fml.common.registry.EntityRegistry.EntityRegistration",82,1,1,2,0,12,12,9,12
"Public Class","cpw.mods.fml.common.registry.GameData",77,1,1,5,0,12,0,0,12
"Class","cpw.mods.fml.common.registry.GameData.buildModObjectTable.(Anon_2)",0,1,2,1,0,1,1,0,1
"Class","cpw.mods.fml.common.registry.GameData.validateWorldSave.(Anon_1)",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.registry.GameRegistry",92,1,1,15,0,34,0,0,34
"Public Class","cpw.mods.fml.common.registry.ItemData",58,1,1,4,0,13,13,6,13
"Public Class","cpw.mods.fml.common.registry.LanguageRegistry",80,1,1,3,0,13,10,1,13
"Public Class","cpw.mods.fml.common.registry.TickRegistry",80,1,1,5,0,5,0,0,5
"Public Static Class","cpw.mods.fml.common.registry.TickRegistry.TickQueueElement",37,1,2,1,0,4,4,2,4
"Public Class","cpw.mods.fml.common.registry.VillagerRegistry",81,1,1,3,0,12,3,4,12
"Public Class","cpw.mods.fml.common.toposort.ModSorter",33,1,1,6,0,3,3,5,3
"Public Class","cpw.mods.fml.common.toposort.ModSortingException",0,2,1,1,0,2,2,1,2
"Public Generic Class","cpw.mods.fml.common.toposort.ModSortingException.SortingExceptionData",33,1,1,0,0,3,3,2,3
"Public Class","cpw.mods.fml.common.toposort.TopologicalSort",0,1,1,2,0,3,0,0,3
"Public Static Generic Class","cpw.mods.fml.common.toposort.TopologicalSort.DirectedGraph",44,1,2,0,0,9,9,2,9
"Class","cpw.mods.fml.common.toposort.TopologicalSort.DirectedGraph.addNode.(Anon_1)",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.common.versioning.ComparableVersion",66,1,2,4,0,7,6,3,7
"Private Static Class","cpw.mods.fml.common.versioning.ComparableVersion.IntegerItem",55,1,2,0,0,6,6,1,6
"Private Static Class","cpw.mods.fml.common.versioning.ComparableVersion.ListItem",0,2,2,0,0,5,5,0,5
"Private Static Class","cpw.mods.fml.common.versioning.ComparableVersion.StringItem",73,1,2,0,0,6,5,1,6
"Public Class","cpw.mods.fml.common.versioning.DefaultArtifactVersion",59,1,2,2,0,11,11,4,11
"Public Class","cpw.mods.fml.common.versioning.InvalidVersionSpecificationException",0,2,1,0,0,1,1,0,1
"Public Class","cpw.mods.fml.common.versioning.Restriction",55,1,1,1,0,9,9,4,9
"Public Class","cpw.mods.fml.common.versioning.VersionParser",66,1,1,6,0,3,0,0,3
"Public Class","cpw.mods.fml.common.versioning.VersionRange",43,1,1,4,0,15,12,2,15
"Public Class","cpw.mods.fml.relauncher.ArgsWrapper",0,1,1,0,0,1,1,1,1
"Public Class","cpw.mods.fml.relauncher.CoreFMLLibraries",66,1,2,1,0,3,3,0,3
"Public Class","cpw.mods.fml.relauncher.Downloader",68,2,2,1,0,9,9,5,9
"Class","cpw.mods.fml.relauncher.Downloader.makeDialog.(Anon_1)",0,1,2,1,0,1,1,0,1
"Class","cpw.mods.fml.relauncher.Downloader.makeDialog.(Anon_2)",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.relauncher.DummyDownloader",0,1,2,0,0,7,7,0,7
"Public Class","cpw.mods.fml.relauncher.FMLCorePlugin",0,1,2,0,0,5,5,0,5
"Public Class","cpw.mods.fml.relauncher.FMLInjectionData",37,1,1,2,0,3,0,0,3
"Class","cpw.mods.fml.relauncher.FMLLogFormatter",0,2,1,0,0,1,1,1,1
"Public Class","cpw.mods.fml.relauncher.FMLRelaunchLog",83,1,1,5,0,16,2,1,16
"Private Static Class","cpw.mods.fml.relauncher.FMLRelaunchLog.ConsoleLogThread",0,1,2,1,0,1,1,0,1
"Private Static Class","cpw.mods.fml.relauncher.FMLRelaunchLog.ConsoleLogWrapper",0,2,1,2,0,3,3,0,3
"Private Static Class","cpw.mods.fml.relauncher.FMLRelaunchLog.LoggingOutStream",0,2,1,2,0,2,2,2,2
"Class","cpw.mods.fml.relauncher.FMLRelaunchLog.configureLogging.(Anon_1)",0,1,2,0,0,1,1,0,1
"Public Class","cpw.mods.fml.relauncher.FMLRelauncher",78,1,1,9,0,15,9,4,15
"Public Class","cpw.mods.fml.relauncher.ReflectionHelper",0,1,1,5,0,7,0,0,7
"Public Static Class","cpw.mods.fml.relauncher.ReflectionHelper.UnableToAccessFieldException",0,2,1,0,0,1,1,1,1
"Public Static Class","cpw.mods.fml.relauncher.ReflectionHelper.UnableToFindClassException",0,2,1,0,0,1,1,1,1
"Public Static Class","cpw.mods.fml.relauncher.ReflectionHelper.UnableToFindFieldException",0,2,1,0,0,1,1,1,1
"Public Static Class","cpw.mods.fml.relauncher.ReflectionHelper.UnableToFindMethodException",0,2,1,0,0,1,1,1,1
"Public Class","cpw.mods.fml.relauncher.RelaunchClassLoader",87,2,1,4,0,15,15,10,15
"Public Class","cpw.mods.fml.relauncher.RelaunchLibraryManager",78,1,1,10,0,8,0,0,8
"Class","cpw.mods.fml.relauncher.RelaunchLibraryManager.discoverCoreMods.(Anon_1)",0,1,2,0,0,1,1,0,1
"Public Class","cpw.mods.fml.server.FMLServerHandler",91,1,2,9,0,18,17,1,18
"Public Class","ibxm.Channel",91,1,1,6,0,39,39,41,39
"Public Class","ibxm.Envelope",67,1,1,1,0,8,8,7,8
"Public Class","ibxm.FastTracker2",0,1,1,6,0,8,0,0,8
"Public Class","ibxm.IBXM",83,1,1,3,0,15,15,19,15
"Public Class","ibxm.Instrument",90,1,1,2,0,11,11,12,11
"Public Class","ibxm.LogTable",73,1,1,1,0,3,0,0,3
"Public Class","ibxm.Module",91,1,1,3,0,17,17,15,17
"Public Class","ibxm.Pattern",56,1,1,0,0,4,4,4,4
"Public Class","ibxm.Player",84,1,1,6,0,7,5,9,7
"Private Class","ibxm.Player.Driver",0,1,2,2,0,1,1,0,1
"Public Class","ibxm.ProTracker",0,1,1,6,0,9,0,0,9
"Public Class","ibxm.Sample",73,1,1,1,0,6,6,8,6
"Public Class","ibxm.ScreamTracker3",94,1,1,6,0,17,0,0,17
"Public Abstract Class","net.minecraft.src.BaseMod",0,1,2,4,0,35,35,0,35
"Public Class","net.minecraft.src.EntityRendererProxy",75,2,1,0,0,2,2,1,2
"Public Class","net.minecraft.src.FMLRenderAccessLibrary",0,1,1,2,0,6,0,0,6
"Public Class","net.minecraft.src.ModLoader",100,1,1,21,0,78,0,0,78
"Public Class","net.minecraft.src.TradeEntry",50,1,1,0,0,2,2,5,2
"Public Class","net.minecraftforge.classloading.FMLForgePlugin",80,1,2,0,0,5,5,0,5
"Public Class","net.minecraftforge.client.EnumHelperClient",80,2,1,0,0,27,0,0,5
"Public Class","net.minecraftforge.client.ForgeHooksClient",92,1,1,14,0,13,0,0,13
"Public Class","net.minecraftforge.client.GuiControlsScrollPanel",67,2,1,0,0,8,8,7,8
"Public Abstract Class","net.minecraftforge.client.IRenderHandler",0,1,1,2,0,1,1,0,1
"Public Class","net.minecraftforge.client.MinecraftForgeClient",50,1,1,3,0,4,0,0,4
"Public Class","net.minecraftforge.client.ModCompatibilityClient",83,1,1,3,0,9,0,0,9
"Public Class","net.minecraftforge.client.event.ClientChatReceivedEvent",0,2,1,0,0,11,1,1,1
"Public Class","net.minecraftforge.client.event.DrawBlockHighlightEvent",0,2,1,0,0,11,1,6,1
"Public Class","net.minecraftforge.client.event.RenderWorldLastEvent",0,2,1,0,0,11,1,2,1
"Public Class","net.minecraftforge.client.event.TextureLoadEvent",0,2,1,0,0,11,1,2,1
"Public Class","net.minecraftforge.client.event.TextureStitchEvent",0,2,1,0,2,11,1,1,1
"Public Static Class","net.minecraftforge.client.event.TextureStitchEvent.Post",0,3,1,0,0,12,1,0,1
"Public Static Class","net.minecraftforge.client.event.TextureStitchEvent.Pre",0,3,1,0,0,12,1,0,1
"Public Class","net.minecraftforge.client.event.sound.PlayBackgroundMusicEvent",0,4,1,0,0,14,1,0,1
"Public Class","net.minecraftforge.client.event.sound.PlaySoundEffectEvent",0,4,1,0,0,14,1,0,1
"Public Class","net.minecraftforge.client.event.sound.PlaySoundEffectSourceEvent",0,3,1,0,0,13,1,2,1
"Public Class","net.minecraftforge.client.event.sound.PlaySoundEvent",0,4,1,0,0,14,1,3,1
"Public Class","net.minecraftforge.client.event.sound.PlaySoundSourceEvent",0,3,1,0,0,13,1,5,1
"Public Class","net.minecraftforge.client.event.sound.PlayStreamingEvent",0,4,1,0,0,14,1,3,1
"Public Class","net.minecraftforge.client.event.sound.PlayStreamingSourceEvent",0,3,1,0,0,13,1,5,1
"Public Class","net.minecraftforge.client.event.sound.SoundEvent",0,2,1,3,6,12,1,0,2
"Public Class","net.minecraftforge.client.event.sound.SoundLoadEvent",0,3,1,0,0,13,1,1,1
"Public Abstract Class","net.minecraftforge.client.event.sound.SoundResultEvent",0,3,1,0,4,13,1,6,1
"Public Class","net.minecraftforge.client.event.sound.SoundSetupEvent",0,3,1,0,0,13,1,1,1
"Public Class","net.minecraftforge.common.AchievementPage",66,1,1,0,0,9,3,2,9
"Public Class","net.minecraftforge.common.BiomeManager",0,1,1,0,0,6,0,0,6
"Public Class","net.minecraftforge.common.ChestGenHooks",91,1,1,1,0,21,11,4,21
"Public Class","net.minecraftforge.common.ConfigCategory",78,1,2,3,0,29,28,6,29
"Public Class","net.minecraftforge.common.Configuration",94,1,1,7,0,43,42,8,43
"Public Static Class","net.minecraftforge.common.Configuration.UnicodeInputStreamReader",37,2,1,0,0,4,4,2,4
"Public Class","net.minecraftforge.common.DimensionManager",84,1,1,8,0,22,0,0,22
"Public Class","net.minecraftforge.common.DungeonHooks",0,1,1,1,0,3,0,0,3
"Public Static Class","net.minecraftforge.common.DungeonHooks.DungeonMob",0,2,1,0,0,2,2,1,2
"Public Class","net.minecraftforge.common.EnumHelper",90,1,1,3,1,22,0,0,22
"Public Class","net.minecraftforge.common.FakePlayer",0,2,1,0,0,4,4,0,4
"Public Class","net.minecraftforge.common.FakePlayerFactory",0,1,1,1,0,1,0,0,1
"Public Class","net.minecraftforge.common.ForgeChunkManager",86,1,1,16,0,24,0,0,24
"Public Static Class","net.minecraftforge.common.ForgeChunkManager.ForceChunkEvent",0,2,1,1,0,11,1,2,1
"Public Static Class","net.minecraftforge.common.ForgeChunkManager.Ticket",86,1,1,3,0,13,13,11,13
"Public Static Class","net.minecraftforge.common.ForgeChunkManager.UnforceChunkEvent",0,2,1,1,0,11,1,2,1
"Public Class","net.minecraftforge.common.ForgeDummyContainer",83,2,2,11,0,28,6,0,6
"Public Class","net.minecraftforge.common.ForgeHooks",92,1,1,16,0,19,0,0,19
"Static Class","net.minecraftforge.common.ForgeHooks.GrassEntry",0,2,1,0,0,1,1,2,1
"Static Class","net.minecraftforge.common.ForgeHooks.SeedEntry",0,2,1,0,0,1,1,1,1
"Public Class","net.minecraftforge.common.ForgeInternalHandler",0,1,1,11,0,4,4,0,4
"Public Class","net.minecraftforge.common.ForgeVersion",60,1,1,0,0,5,0,0,5
"Public Static Class","net.minecraftforge.common.ISpecialArmor.ArmorProperties",33,1,2,1,0,6,4,4,6
"Public Class","net.minecraftforge.common.MinecraftForge",95,1,1,8,0,10,0,0,10
"Class","net.minecraftforge.common.MinecraftForge.initialize.(Anon_1)",0,1,2,2,0,1,1,0,1
"Public Class","net.minecraftforge.common.Property",85,1,1,1,0,32,32,8,32
"Public Class","net.minecraftforge.common.WorldSpecificSaveHandler",60,1,2,0,0,10,10,3,10
"Public Class","net.minecraftforge.event.ASMEventHandler",70,1,2,4,0,5,5,2,5
"Private Static Class","net.minecraftforge.event.ASMEventHandler.ASMClassLoader",0,2,1,0,0,2,2,0,2
"Public Class","net.minecraftforge.event.CommandEvent",25,2,1,0,0,11,1,4,1
"Public Class","net.minecraftforge.event.Event",82,1,1,4,22,10,10,4,10
"Public Class","net.minecraftforge.event.EventBus",60,1,1,5,0,5,5,2,5
"Public Class","net.minecraftforge.event.ForgeEventFactory",0,1,1,15,0,7,0,0,7
"Public Class","net.minecraftforge.event.ListenerList",60,1,1,3,0,10,7,2,10
"Private Class","net.minecraftforge.event.ListenerList.ListenerListInst",55,1,1,2,0,9,9,4,9
"Public Class","net.minecraftforge.event.ServerChatEvent",0,2,1,0,0,11,1,4,1
"Public Class","net.minecraftforge.event.entity.EntityEvent",0,2,1,0,7,11,1,1,1
"Public Static Class","net.minecraftforge.event.entity.EntityEvent.CanUpdate",100,3,1,0,0,12,1,1,1
"Public Static Class","net.minecraftforge.event.entity.EntityEvent.EnteringChunk",0,3,1,0,0,12,1,4,1
"Public Class","net.minecraftforge.event.entity.EntityJoinWorldEvent",0,3,1,0,0,12,1,1,1
"Public Class","net.minecraftforge.event.entity.PlaySoundAtEntityEvent",0,3,1,0,0,12,1,3,1
"Public Class","net.minecraftforge.event.entity.item.ItemEvent",0,3,1,0,2,12,1,1,1
"Public Class","net.minecraftforge.event.entity.item.ItemExpireEvent",0,4,1,0,0,13,1,1,1
"Public Class","net.minecraftforge.event.entity.item.ItemTossEvent",0,4,1,0,0,13,1,1,1
"Public Class","net.minecraftforge.event.entity.living.LivingAttackEvent",0,4,1,0,0,13,1,2,1
"Public Class","net.minecraftforge.event.entity.living.LivingDeathEvent",0,4,1,0,0,13,1,1,1
"Public Class","net.minecraftforge.event.entity.living.LivingDropsEvent",0,4,1,0,1,13,1,5,1
"Public Class","net.minecraftforge.event.entity.living.LivingEvent",0,3,1,1,10,12,1,1,1
"Public Static Class","net.minecraftforge.event.entity.living.LivingEvent.LivingJumpEvent",0,4,1,0,0,13,1,0,1
